cytoband	13q14.13	6q15	2q22.2	17p13.1	5q13.2	10q23.31	5q22.1	11q23.2	1q42.2	6p21.32	6p24.3	19p13.3	1p36.13	18q22.3	11p15.5	3p12.3	7q22.1	6q21	12p12.3	1p31.1	3q29	16q24.1	15q15.1	12q24.32	9p24.2	1p13.3	4q34.2	19q13.31	4p12	6q27	11q12.1	2q37.2	8p21.2	10q21.1	17q21.2	21q21.1	2p21	4q27	21q22.3	7q36.2	22q13.31	1q24.2	9q21.13	3p25.3	16q21	4q21.22	14q11.2	2p12	12q12	17q11.2	14q24.3	15q11.2	
	HTR2A	ME1	MCM6	RPL26	RAD17	CYP2C8	MAN2A1	HTR3A	MIR4671	FANCE		MKNK2	FBXO42	RTTN	MUC6	UBA3	VGF	BVES	GPR19	PIN1P1	MUC4	COX4I1	SRP14	PXMP2	RLN1	S1PR1	HAND2	CEACAM8	TMEM33	PDCD2	SPI1	CHRND	GNRH1	SLC18A3	CDC27	NRIP1	CDC42EP3	EXOSC9	CRYAA	SHH	PPARA	SERPINC1	GNAQ	SLC6A1	CDH5	AFF1	MMP14	DOK1	YAF2	FLII	CALM1	GOLGA8IP	
	KPNA3	MYO6	MGAT5	VAMP2	SMN1	CYP2C9	MCC	IL18	MIR4427	FKBP5		GPX4	NBPF1	CDH19	POLR2L	ARL6IP5	ZAN	HACE1	GRIN2B	PRKACB	OPA1	CYBA	THBS1	RAN	RLN2	EXTL2	MFAP3L	CEACAM4	GUF1	PLG	MADD	CHRNG	LOXL2	PARG	CCR7	BTG3	HAAO	TRPC3	CSTB	SMARCD3	MAPK11	ATP1A2	HNRNPK	SLC6A11	CDH8	NKX6-1	MYH6	EGR4	PDZRN4	FLOT2	SERPINA6	WHAMMP3	
	LCP1	NT5E	ORC4	KCNAB3	SMN2	CYP2C18	PAM	NCAM1	LOC101927683	GRM4		GADD45B	NECAP2	TMX3	RPLP2	PDZRN3	MUC12	PRDM13	GUCY2C	PTGER3	PAK2	DPEP1	AQR	SFSWAP	SLC1A1	VCAM1	ADAM29	MEGF8	GNPDA2	PSMB1	NR1H3	COL6A3	NEFM	DKK1	CNP	USP25	QPCT	UGT8	DSCAM	VIPR2	MAPK12	ATP1A4	NTRK2	VHL	CDH11	PRKG2	MYH7	EMX1	PLEKHA8P1	KCNJ12	ENTPD5	LINC01193	
	NEK3	PGM3	TNFAIP6	AURKB	TAF9	CYP26A1	PGGT1B	NNMT	LOC101927765	HLA-DMA		OAZ1	RSG1	CCDC102B	TSPAN4	FRMD4B	POP7	POPDC3	KLRC1	PTGFR	PCYT1A	FANCA	RASGRP1	UBC	SMARCA2	CDC14A	SCRG1	ERF	SHISA3	RPS6KA2	CELF1	DTYMK	NEFL	CSTF2T	CRHR1	RBM11	EML4	PRSS12	DYRK1A	XRCC2	SBF1	ATP1B1	PCSK5	BRPF1	CES1	MAPK10	PNP	GFPT1	YARS2	LGALS9	FOXN3	IGHV1OR15-1	
	PCDH8	ELOVL4	CXCR4	NTN1	SERF1A	DNTT	SRP19	PAFAH1B2	DISC1-IT1	HLA-DMB		RPS15	CROCCP2	NETO1	TNNI2	RYBP	SRRT	MCHR2	KLRC2	RABGGTB	PPP1R2	FOXF1	GPR176	ZNF10	VLDLR	RTCA	PALLD	GRIK5	COX7B2	SLC22A1	OR5I1	GBX2	NKX3-1	A1CF	DHX8	CYP4F29P	DYNC2LI1	PDE5A	ERG	UBE3C	UPK3A	CACNA1E	PGM5	CAMK1	CETP	PTPN13	OXA1L	HK2	IRAK4	LLGL1	CHGA	GOLGA8EP	
	RB1	TPBG	KYNU	STX8	SMA4	GLUD1	ST8SIA4	PPP2R1B		HLA-DOA		SGTA	CROCCP3	DSEL	BRSK2	LRIG1	SLC12A9	BVES-AS1	KLRC3	RPE65	RPL35A	FOXL1	BAHD1	ZNF26	PUM3	VAV3	FBXO8	GSK3A	DCAF4L1	SLC22A3	NUP160	GPC1	PPP2R2A	OGDHL	DUSP3	LINC00158	MTA3	NDST3	ETS2	DNAJB6	WNT7B	CASQ1	PRKACG	VGLL4	CNGB1	HNRNPDL	PSMB5	TLX2	PPHLN1	MFAP4	DIO2	OR4M2	
	TPT1	TTK	NMI	ARHGEF15	SMA5	GOT1	REEP5	PTS		HLA-DOB		STK11	ARHGEF19	CBLN2	CEND1	FOXP1	TRIM56	LIN28B	KLRD1	FPGT	TFRC	FOXC2	RPUSD2	ZNF84	RCL1	NTNG1	AADAT	LIPE	YIPF7	SLC22A2	FNBP4	GPR35	STC1	ASAH2	ETV4	CHODL-AS1	THADA	SEC24D	HLCS	PAXIP1	CELSR1	CD1A	RORB	TATDN2	COX6A2	CXCL13	RNASE1	MXD1	KIAA1551	NOS2	DLST	OR4N3P	
	SUCLA2	RNGTT	ZEB2	KDM6B	BDP1	GRID1	NREP	SDHD		HLA-DPA1		TCF3	FAM131C	GTSCR1	TOLLIP	EBLN2	MUC17	MCHR2-AS1	LRP6	FUBP1	RUBCN	GALNS	PPP1R14D	ZNF140	DMRT2	SLC35A3	GALNT7	CEACAM6	KCTD8	T	MTCH2	HDLBP	ADAM7	WDFY4	EZH1	LINC00308	ATL2	PRDM5	HMGN1	PRKAG2	PPP6R2	CD1B	SHB	SRGAP3	CSNK2A2	HPSE	RNASE2	MEIS1	KIF21A	MAPK7	EIF2S1	HERC2P2	
	DLEU2	TBX18	NXPH2	PIK3R5	ERBIN	HELLS	RAB9BP1	TAGLN		HLA-DPB1		THOP1	SPATA21	DOK6	PIDD1	SHQ1	NAT16	LIN28B-AS1	MGP	SRSF11	TNK2	GAS8	ZNF770	CDK2AP1	INSL6	SLC25A24	HPF1	PAFAH1B3	BEND4	TBP	OR5L2	HTR2B	ENTPD4	ARHGAP22	GAST	MRPL39	ABCG5	MYOZ2	PRMT2	NUB1	ZBED4	CD1C	TLE1	ARPC4	CTF1	CCNI	RNASE3	REG3A	ADAMTS20	MAP2K3	EML1	NF1P2	
	TSC22D1	HMGN3	RAB3GAP1	RANGRF	NLN	HHEX	PJA2	ZBTB16		HLA-DPB2		TLE2	FAM231A	LINC00305	PNPLA2	LMOD3	UFSP1	TSTD3	MGST1	ZRANB2	NCBP2	HSBP1	RMDN3	ULK1	KDM4C	DPH5	SH3RF1	POU2F2	GRXCR1	TCP10	KBTBD4	INPP5D	PNMA2	SYT15	FZD2	C21orf91	ABCG8	USP53	ITGB2	CHPF2	SCO2	CD1D	TLE4	TADA3	CYLD	SEC31A	RNASE4	PCBP1	PUS7L	PRPSAP2	ERH	CHEK2P2	
	ITM2B	SNAP91	UBXN4	BORCS6	MCCC2	HPS1	PPIP5K2	ZPR1		HLA-DQA1		SF3A2	FAM231C	HMSD	CHID1	PROK2	MIR4653	LOC105377924	OLR1	PIGK	ACAP2	IRF8	DNAJC17	PIWIL1	KANK1	GPR88	HAND2-AS1	PSG1	LVCAT1	TCTE3	TRIM48	KCNJ13	ADAM28	C10orf71	G6PC	JAM2	GEMIN6	BBS7	KCNJ6	NCAPG2	PKDREJ	CD1E	ZFAND5	ATG7	SEPT1	WDFY3	RNASE6	PLEK	RACGAP1P	RPL23A	ESR2	LOC646214	
	UTP14C	SYNCRIP	R3HDM1	TRAPPC1	SLC30A5	HTR7	EPB41L4A-AS2	PCSK7		HLA-DQA2		AP3D1	LOC100132147	LOC284294	SLC25A22	KBTBD8	MIR6875		PDE6H	IFI44	UBXN7	MC1R	PAK6	NCOR2	RANBP6	TRMT13	CEP44	PSG3	LINC00682	THBS2	AGBL2	NCL	TRIM35	FRMPD2	KAT2A	SAMSN1	THUMPD2	METTL14	KCNJ15	WDR60	NUP50	CD247	PIP5K1B	THUMPD3	DYNC1LI2	COQ2	SALL2	PPP3R1	TMEM117	SDF2	ESRRB	CXADRP2	
	LPAR6	SLC35A1	EPC2	ALOXE3	CENPH	IDE	GIN1	HTR3B		HLA-DQB1		APC2	FAM231B	LINC01538	MOB2	FAM19A4	LOC102724094		PIK3C2G	IFI44L	PIGX	MVD	KNL1	MPHOSPH9	CD274	PRPF38B	CBR4	PSG6	LOC105374428	RNASET2	OR8J3	NDUFA10	ADAMDEC1	FAM170B	GFAP	MIR155HG	DHX57	IL21	LSS	ACTR3B	RABL2B	CD5L	FAM189A2	TTLL3	FUS	MRPS18C	TEP1	RAB1A	ALG10	SH3GL1P2	FNTB	IGHV1OR15-3	
	TRIM13	PNRC1	MMADHC	CTC1	MRPS36	IFIT2	TRIM36	ZW10		HLA-DQB2		UQCR11	MIR3675	LOC400655	SYT8	PPP4R2			PRB1	DNAJB4	LSG1	CHMP1A	GJD2	ZNF268	AK3	PRMT6	DDX60L	PSG7		QKI	OR4P4	SEPT2	SLC25A37	C10orf128	CCR10	CHODL	PKDCC	NDST4	MX1	ESYT2	GRAMD4	CD48	TJP2	GHRL	GNAO1	COPS4	PABPN1	REG1A	ZCRB1	SHMT1	FOS	REREP3	
	DLEU1	CEP162	LRP1B	NDEL1	SREK1	IFIT1	RIOK2	RBM7		HLA-DRA		SBNO2		LOC643542	LOC171391	LINC00870			PRB3	HHLA3	ATP13A3	RPL13	C15orf41	TMED2	SPATA6L	RNPC3	WDR17	PSG11		PDE10A	OR4C15	NEU2	SCARA3	VSTM4	GRN	ANKRD30BP2	HNRNPLL	NDNF	MX2	KMT2C	MLC1	COPA	GDA	SETD5	GOT2	HSD17B11	AP1G2	REG1B	SLC2A13	SLC6A4	FUT8	GOLGA8J	
	OLFM4	DOPEY1	MBD5	TMEM107	MARVELD2	IFIT3	EPB41L4A	SIK2		HLA-DRB1		TIMM13		LINC01541	TOLLIP-AS1	EOGT			PRB4	USP33	PIGZ	SPG7	ZFYVE19	SNRNP35	CDC37L1	MFSD14A	LOC441052	RPS19		FGFR1OP	OR4A5	NPPC	KCTD9	SGMS1	HCRT	LIPI	PLEKHH2	ARSJ	NDUFV3	GALNT11	KIAA0930	CRABP2	GNA14	EMC3	ITGAD	PLAC8	SLC7A7	REG1CP	LRRK2	SUPT6H	GALC	GOLGA6L6	
	SUGT1	ZNF292	ARHGAP15	NAA38	CCDC125	KIF11	FBXL17	SIK3		HLA-DRB5		DAZAP1		LOC100505797	CRACR2B	LINC00877			PRH1	ADGRL2	IQCG	SLC7A5	DISP2	FZD10	PLGRKT	DNAJA1P5	GALNTL6	ARHGEF1		LINC01558	OR4A16	PDCD1	CCDC25	PGBD3	HOXB1	ABCC13	GALM	TNIP3	PCNT	LMBR1	MAPK8IP2	CRP	SMC5	BRK1	ITGAL	NUDT9	TOX4	RTKN	FGD4	TNFAIP1	GPX2	LOC727924	
	LECT1	ORC3	GTDC1	HES7	MAST4	LIPA	YTHDC2	BACE1		HLA-DRB6		SLC39A3		LOC100505817	KRTAP5-AS1	EIF4E3			PRH2	ZZZ3	FYTTD1	CDK10	DPH6	P2RX2	CBWD1	HENMT1	MIR548T	RABAC1		DLL1	OR4A15	PDE6D	PBK	C10orf53	HOXB2	C21orf91-OT1	TMEM178A	QRFPR	PCP4	LINC00244	PLXNB2	DHX9	VPS13A	RAD18	ITGAM	BMP2K	PARP2	SLC1A4	PRICKLE1	TOP3A	GSTZ1	GOLGA8CP	
	FNDC3A	IBTK	MAP3K19	TMEM88	LOC441081	PDE6C	NUDT12	CADM1		HMGA1		LSM7		MIR5011	KRTAP5-1	LINC00960			PTPRO	AK5	LRCH3	MBTPS1	C15orf57	ANKLE2	RIC1	OLFM3	MIR4276	CIC		MPC1	TRIM51	PPP1R7	EBF2	FAM21A	HOXB3	D21S2088E	RMDN2	KIAA1109	PDE9A	NOM1	BRD1	DPT	AGTPBP1	CIDEC	ITGAX	SEPT11	DHRS2	SNRPG	ALG10B	VTN	GTF2A1	HERC2P7	
	ZC3H13	SNORD50A	THSD7B	CNTROB	LOC647859	PGAM1	TSSK1B	REXO2		ITPR3		MBD3		MIR548AV	KRTAP5-3	FAM19A1			KLRC4	SNORD45B	CEP19	TAF1C	KNSTRN	RIMBP2	DMRT3	LRRC39	LOC100506085	ATP5SL		UNC93A	SLC39A13	PSMD1	DOCK5	AGAP6	HOXB4	LINC00515	OXER1	TMEM155	PFKL	C7orf13	ARHGAP8	ETV3	TMEM2	MTMR14	KIFC3	PRDM8	EFS	SPR	CPNE8	RNF112	HIF1A	POTEB2	
	LRCH1	CYB5R4	TMEM163	CYB5D1	GUSBP3	PPP1R3C	TSLP	TIMM8B		KIFC1		PCSK4		LOC101060542	KRTAP5-4	FAM86DP			YBX3	SNORD45A	LMLN	USP10	BMF	ATP6V0A2	ERMP1	NBPF4	LOC100506107	EXOSC5		PHF10	C1QTNF4	PTMA	STMN4	AGAP12P	HSD17B1	POTED	KCNG3	ADAD1	PKNOX1	RNF32	TBC1D22A	F5	ZNF658	CRELD1	MMP2	KLHL8	PRMT5	TACR1	ANO6	FOXN1	HSPA2	MIR1268A	
	INTS6	PHIP	ZRANB3	USP43	GTF2H2B	PTEN	C5orf30	SIDT2		MLN		C19orf24		LOC101927481	FAM99A	GXYLT2			GPRC5A	TNNI3K	TMEM44	VPS9D1	CHST14	GALNT9	PDCD1LG2	SLC30A7	LOC100506122	DMRTC2		ERMARD	PTPMT1	SNORD20	CHMP7	FAM35DP	IFI35	LOC339622	CYP1B1-AS1	TRAM1L1	PWP2	LINC00689	SAMM50	F13B	SPATA31A7	JAGN1	MMP15	ENOPH1	EDDM3A	GCFC2	ARID2	TMEM11	IFI27	MIR3118-3	
	CKAP2	AKIRIN2	ACMSD	KRBA2	GTF2H2C	ALDH18A1	SLC25A46	C11orf71		RPL10A		PLEKHJ1		LOC102724913	IFITM10	ZNF717			KLRA1P	GIPC2	TM4SF19	KIAA0513	LOC145845	ARL6IP4	DOCK8	SASS6	LINC01612	ZNF574		AGPAT4	OR4C46	SAG	NKX2-6	LRRC18	IGFBP4	LINC00317	CDKL4	BBS12	S100B	CRYGN	ATXN10	FCER1A	OSTF1	LINC00852	MT1A	MRPL1	DHRS4	TGFA	C12orf40	KSR1	ITPK1	MIR3118-4	
	NUFIP1	FAM46A	LYPD6	CFAP52	SERF1B	RBP4	EPB41L4A-AS1	BTG4		NOTCH4		BTBD2		LOC105372179	KRTAP5-5	FRG2C			STRAP	LRRC40	ZDHHC19	PIEZO1	TMCO5A	SBNO1	GLIS3-AS1	FAM102B	LOC101928314	CNFN		SMOC2	OR4X2	SPP2	CDCA2	BMS1P6	ITGA2B	LINC00320	LOC375196	SYNPO2	SH3BGR	RBM33	FAM19A5	FCER1G	PSAT1	IL17RC	MT1B	THAP9	SUPT16H	TIA1	MUC19	SLC13A2	LTBP2	MIR3118-2	
	MED4	RARS2	LYPD6B	CCDC42	GTF2H2C_2	RGR	SLCO6A1	NXPE4		PBX2		SPPL2B			KRTAP5-2	MIR1284			PRR4	DEPDC1	LRRC15	ATP2C2	CSNK1A1P1	CHFR	TPD52L3	ACTG1P4	LOC101928509	CEACAM21		FRMD1	OR4B1	DGKD	ESCO2	FAM25C	ITGB3	LOC388813	LOC388942	LINC01061	SLC19A1	GALNTL5	SULT4A1	FCGR2A	UBQLN1	FANCD2OS	MT1E	SCD5	ACIN1	ALMS1	GXYLT1	UNC119	MAX	MIR5701-2	
	DNAJC15	SMIM8	SPOPL	PIK3R6	GUSBP9	SFRP5	STARD4	TTC12		PHF1		REXO1			KRTAP5-6	MIR1324			KLRK1	LRRC7	FAM43A	EMC8	SPRED1	PITPNM2	IL33	NBPF6	LOC101928551	ZNF526		AGPAT4-IT1	OR8I2	PER2	R3HCC1	DRGX	JUP	MIR99AHG	C2orf91	C4orf3	SUMO3	PAXIP1-AS1	RIBC2	FCGR2B	PCA3	IL17RE	MT1F	FRAS1	SLC7A8	MOGS	SYT10	TIAF1	ATXN3	MIR5701-1	
	VPS36	SNX14	NCKAP5	ODF4	LOC100303749	SLIT1	WDR36	C11orf57		PPARD		ZNF77			SNORA52	MIR3136			GABARAPL1	DNASE2B	XXYLT1	TUBB3	FSIP1	EP400	UHRF2	MIR553	LOC101928590	LYPD4		LINC00574	OR8U1	LRRFIP1	MIR548H4	ASAH2B	KPNB1	ANKRD20A11P	LOC728730	CEP170P1	TFF1	FABP5P3	SMC1B	FCGR3A	ABHD17B	CPNE9	MT1G	ARHGAP24	NGDN	DYSF	LINC00938	GOSR1	MAP3K9	POTEB	
	PHF11	LINC01590	RBM43	MFSD6L	OCLN	SNCG	DCP2	TEX12		MAPK13		TLE6			MUC5B	MIR4272			TAS2R9	ADGRL4	NCBP2-AS2	PRDM7	FAM98B	DHX37	C9orf66	LINC01349	LOC101930370	DEDD2		LPAL2	OR4C16	GPR55	MIR4287	MIR605	KRT9	MIRLET7C	C1GALT1C1L	LOC645513	TFF2	CNPY1	PARVB	FCGR3B	NMRK1	CIDECP	MT1H	FAM175A	LRP10	DUSP11	DBX2	TRAF4	ALDH6A1	LOC101927079	
	ENOX1	LCAL1	TEX41	DHRS7C	LOC101928769	TLL2	LIX1	USP28		PSMB8		ZNF556			FAM99B	MIR4273			TAS2R8	TTLL7	RNF168	TCF25	MRPL42P5	FBRSL1	KIAA2026	LOC100129138	MIR6082	PRR19		TTLL2	OR4C11	ECEL1	MIR3622A	FAM25G	KRT10	MIR125B2	MORN2	SNORA24	TFF3	LOC285889	NCAPH2	FMO1	C9orf40	RPUSD3	MT1JP	NAA11	OR10G3	NAT8	LOC101927038	KIAA0100	MNAT1	POTEB3	
	RCBTB1	SPACA1	MIR128-1	LOC284023	LOC101928794	LIPF	RGMB	C11orf1		PSMB9		ABHD17A			MIR4298	MIR3923			TAS2R7	RPF1	SLC51A	ZCCHC14	C15orf52	DDX55	KCNV2	RTCA-AS1		TMEM145		FAM120B	OR4S2	EIF4E2	MIR3622B	FAM21EP	KRT12	MIR155	SLC8A1-AS1	MIR577	TRAPPC10	BLACE	GTSE1	FMO2	RFK	PRRT3	MT1M	GPAT3	OR10G2	MRPL19	LOC101927058	ULK2	MTHFD1		
	NUDT15	SH3BGRL2	YY1P2	LINC00324	LOC101928858	CH25H	LINC00491	ALG9		RGL2		KLF16			PANO1	MIR4444-1			TAS2R13	ANKRD13C	FBXO45	GSE1	C15orf53	AACS	GLIS3	VAV3-AS1		CXCL17		LINC00473	OR4C6	HDAC4	LOC100507156	MIR4294	KRT13	MIR99A	LINC01126	LOC729218	TMPRSS2	WDR86	MOV10L1	FMO3	KIF27	LINC00606	MT1L	HELQ	OR4E2	ARHGAP25	MIR7851	FBXW10	NDUFB1		
	GPALPP1	LINC01621	PABPC1P2	SPDYE4	LOC101928885	BTAF1	FAM174A	TMPRSS5		RING1		DOT1L			LOC101927503	SUCLG2-AS1			TAS2R10	ST6GALNAC5	MUC20	COTL1	C15orf54	NOC4L	VLDLR-AS1	LOC101928370		B3GNT8		SFT2D1	OR5D14	FARP2	LOC101929294	FAM170B-AS1	KRT14	MIR548X	ARHGEF33	CETN4P	TRPM2	LOC389602	FAM118A	FMO4	SLC28A3	LHFPL4	MT1X	PCAT4	OR4E1	ACTR2	LOC105369738	SPAG5	SIX6		
	THSD1	UBE3D	CCNT2-AS1	SLC25A35	LOC101928924	PAPSS2	SLCO4C1	BCO2		BRD2		LMNB2			LINC01150	SAMMSON			TAS2R14	NEXN	SENP5	MLYCD	EIF2AK4	OGFOD2	PLPP6	LOC101928436		PSG8		PACRG	OR5L1	ARL4C	LOC101929315	C10orf71-AS1	KRT15	MIR3118-1	RMDN2-AS1	SNHG8	TTC3	MIR153-2	TTC38	NR5A2	DCAF10	LOC401052	MT2A	ANTXR2	SLC39A2	MPHOSPH10	LOC105369739	GRAP	SERPINA5		
	CYSLTR2	MRAP2	ZEB2-AS1	RNF222	AK6	PDLIM1	RGMB-AS1	BUD13		RNF5		MUM1			MIR7847	PDZRN3-AS1			HEBP1	ASB17	LOC220729	CPNE7	C15orf62	TCTN2	MIR101-2	LOC101928476		TMEM91		LOC154449	OR5D18	RAMP1	MIR6841	PRKG1-AS1	KRT16	MIR3156-3	LINC00211	PP12613	U2AF1	MNX1-AS1	PRR34	ACKR1	CNTNAP3	THUMPD3-AS1	MT3	LIN54	ZNF219	SMYD5		AKAP10	PGF		
